,country,Ancestral Severe Disease,Ancestral Infection,Alpha Severe Disease,Alpha Infection,Beta Severe Disease,Beta Infection,Gamma Severe Disease,Gamma Infection,Delta Severe Disease,Delta Infection,Omicron Severe Disease,Omicron Infection
0,Luxembourg,91.7978615343491,66.00040096230956,91.7978615343491,66.00040096230956,89.0146551724138,67.96626570435713,89.0146551724138,67.96626570435713,89.0146551724138,67.96626570435713,67.12264100507886,35.35854049719326
1,Latvia,94.48917097957185,83.97991059174014,94.48917097957185,83.97991059174014,93.47409788087852,82.3421735661065,93.47409788087852,82.3421735661065,93.47409788087852,82.3421735661065,70.633299760061,43.14788963152154
2,Estonia,92.00466740455516,65.41467254898905,92.00466740455516,65.41467254898905,89.52343523469531,67.90532682744322,89.52343523469531,67.90532682744322,89.52343523469531,67.90532682744322,67.51904843562443,35.33511777635743
3,Nepal,84.93238289266515,71.25793402693543,84.93238289266515,71.25793402693543,83.29275093933799,71.7714723839697,83.29275093933799,71.7714723839697,83.29275093933799,71.7714723839697,62.58117585334864,37.52198240170875
4,South Korea,95.08677325305504,83.36812044782964,95.08677325305504,83.36812044782964,94.94771868015904,82.75653255630867,94.94771868015904,82.75653255630867,94.94771868015904,82.75653255630867,71.81317360162384,43.38537501521774
5,Liechtenstein,96.3247537754432,90.02455679579776,96.3247537754432,90.02455679579776,96.28618953819216,88.68121397825928,96.28618953819216,88.68121397825928,96.28618953819216,88.68121397825928,72.62187203618589,46.676632377617274
6,Lithuania,94.4341473793022,82.76869264752077,94.4341473793022,82.76869264752077,93.77516224109928,81.40285138871252,93.77516224109928,81.40285138871252,93.77516224109928,81.40285138871252,70.9653785402868,42.612455304331554
7,Czechia,94.92227141072284,85.0985824325412,94.92227141072284,85.0985824325412,94.69363322772158,83.4419605055767,94.69363322772158,83.4419605055767,94.69363322772158,83.4419605055767,71.69607495575994,43.718758875148225
8,Uruguay,70.1916391542878,64.15725376929767,70.1916391542878,64.15725376929767,69.64068578760036,62.83188189420862,69.64068578760036,62.83188189420862,69.64068578760036,62.83188189420862,52.701172821162075,32.85725790802791
9,Chile,61.204407352701864,56.358466206445726,61.204407352701864,56.358466206445726,60.45374761666341,55.23636214702487,60.45374761666341,55.23636214702487,60.45374761666341,55.23636214702487,45.71100471308643,28.859569074690185
10,Portugal,94.76939103901191,84.05793560629454,94.76939103901191,84.05793560629454,94.2910905765602,82.68897112455863,94.2910905765602,82.68897112455863,94.2910905765602,82.68897112455863,71.33079412988224,43.32632707104871
11,United States,95.48038923405039,87.83329406177452,95.48038923405039,87.83329406177452,95.17875357280164,86.0282433296124,95.17875357280164,86.0282433296124,95.17875357280164,86.0282433296124,71.923477172714,45.171923430974886
12,Hong Kong,75.60524220046472,69.19120990706944,75.60524220046472,69.19120990706944,75.17424758269728,67.62220452483687,75.17424758269728,67.62220452483687,75.17424758269728,67.62220452483687,56.91518837813923,35.38010764465099
13,Norway,95.37796282054056,86.89276082879525,95.37796282054056,86.89276082879525,95.37177682623461,85.18671134572493,95.37177682623461,85.18671134572493,95.37177682623461,85.18671134572493,72.17625688061342,44.68550500946804
14,Ukraine,81.13660618161424,71.56775362170177,81.13660618161424,71.56775362170177,80.82069755338063,70.98979399563999,80.82069755338063,70.98979399563999,80.82069755338063,70.98979399563999,61.13040105342529,37.16913542177254
15,Malta,95.02976943420005,82.83977460397773,95.02976943420005,82.83977460397773,94.7751775245093,82.3381843866428,94.7751775245093,82.3381843866428,94.7751775245093,82.3381843866428,71.65805063239424,43.163602250817505
16,Canada,95.56000997613914,87.0635810117359,95.56000997613914,87.0635810117359,95.55658321181743,85.60962208687225,95.55658321181743,85.60962208687225,95.55658321181743,85.60962208687225,72.26052583797417,44.93780619671071
17,Romania,93.97050777519588,83.48910865235602,93.97050777519588,83.48910865235602,92.74949769680391,81.2203453326302,92.74949769680391,81.2203453326302,92.74949769680391,81.2203453326302,70.17795011090783,42.4928042727238
18,Peru,89.52141119973315,79.68122371382094,89.52141119973315,79.68122371382094,89.02101166337603,78.74868100395881,89.02101166337603,78.74868100395881,89.02101166337603,78.74868100395881,67.21179248548934,41.23203465833113
19,Denmark,95.23469339316108,86.49822338631554,95.23469339316108,86.49822338631554,95.1967082189274,84.71834825262141,95.1967082189274,84.71834825262141,95.1967082189274,84.71834825262141,72.07108132564338,44.41940515238431
20,Ecuador,70.52256075131105,61.09999756282324,70.52256075131105,61.09999756282324,69.95800834717994,60.98632292511759,69.95800834717994,60.98632292511759,69.95800834717994,60.98632292511759,52.898850979813595,31.87179982226997
21,Iceland,95.14698629972216,86.45400964672768,95.14698629972216,86.45400964672768,95.13676221177094,84.52607142427559,95.13676221177094,84.52607142427559,95.13676221177094,84.52607142427559,72.06275184334291,44.30105729097755
22,Hungary,91.45003595282263,81.82658609593608,91.45003595282263,81.82658609593608,90.63234801361415,80.625425107995,90.63234801361415,80.625425107995,90.63234801361415,80.625425107995,68.4616960144855,42.16162592923635
23,Austria,94.9116908884968,84.34985809554534,94.9116908884968,84.34985809554534,94.7193521593312,82.97949268408748,94.7193521593312,82.97949268408748,94.7193521593312,82.97949268408748,71.71199406068772,43.47211346655821
24,Argentina,88.38290005220406,76.16594702073564,88.38290005220406,76.16594702073564,87.27177710085641,76.69834893758559,87.27177710085641,76.69834893758559,87.27177710085641,76.69834893758559,65.71817379427594,40.0571078794079
25,Slovakia,94.81172531465198,83.39568072113845,94.81172531465198,83.39568072113845,94.52352891619707,82.31737657271611,94.52352891619707,82.31737657271611,94.52352891619707,82.31737657271611,71.53967466351064,43.11695081613977
26,Italy,95.3006927190771,85.32320761243287,95.3006927190771,85.32320761243287,95.19304497491781,84.19068770670718,95.19304497491781,84.19068770670718,95.19304497491781,84.19068770670718,71.99400332306149,44.16278751461647
27,Spain,95.19990586526497,84.94862827945555,95.19990586526497,84.94862827945555,95.00765438389621,83.82767539278316,95.00765438389621,83.82767539278316,95.00765438389621,83.82767539278316,71.85056347114232,43.964082894852424
28,France,95.19978381062083,85.65012503712306,95.19978381062083,85.65012503712306,95.12656876298092,84.1849375584692,95.12656876298092,84.1849375584692,95.12656876298092,84.1849375584692,71.99665624705622,44.13872996482758
29,Germany,95.08392446834432,85.14971659417253,95.08392446834432,85.14971659417253,94.87963262101749,83.74989699534783,94.87963262101749,83.74989699534783,94.87963262101749,83.74989699534783,71.79230865350277,43.905195145956306
30,Sweden,95.31568941872243,85.74919182422704,95.31568941872243,85.74919182422704,95.31474617365832,84.4193960730096,95.31474617365832,84.4193960730096,95.31474617365832,84.4193960730096,72.12652223284421,44.2740596055017
31,Bulgaria,94.07391867784729,82.62638897590541,94.07391867784729,82.62638897590541,92.91343861049101,80.88347254143542,92.91343861049101,80.88347254143542,92.91343861049101,80.88347254143542,70.26585548956956,42.32897605928408
32,Netherlands,95.22135885694468,85.51198182823562,95.22135885694468,85.51198182823562,95.0014119676879,84.20155203869908,95.0014119676879,84.20155203869908,95.0014119676879,84.20155203869908,71.84369576746258,44.165711435623436
33,Japan,95.47908229669109,87.44036256721279,95.47908229669109,87.44036256721279,95.47701978502853,85.68571240560698,95.47701978502853,85.68571240560698,95.47701978502853,85.68571240560698,72.23661121076614,44.963568071792864
34,Poland,94.57845796031789,83.40900816955129,94.57845796031789,83.40900816955129,94.0633881436439,81.9718466890742,94.0633881436439,81.9718466890742,94.0633881436439,81.9718466890742,71.19818840293671,42.92025058070231
35,Slovenia,94.64045153493936,83.34655447308583,94.64045153493936,83.34655447308583,94.18486947880976,82.02005634470981,94.18486947880976,82.02005634470981,94.18486947880976,82.02005634470981,71.28761264000327,42.95006668696926
36,Finland,95.27759722980167,85.97289575429264,95.27759722980167,85.97289575429264,95.27759722980167,84.47715014161624,95.27759722980167,84.47715014161624,95.27759722980167,84.47715014161624,72.11730121652302,44.297225679069626
37,Belgium,95.07462630449415,84.23759536033535,95.07462630449415,84.23759536033535,94.90920300318156,83.18578872390287,94.90920300318156,83.18578872390287,94.90920300318156,83.18578872390287,71.8085697420036,43.60472582138123
38,South Africa,92.7899007551793,82.56206784139002,92.7899007551793,82.56206784139002,90.33423492760075,79.08866834484289,90.33423492760075,79.08866834484289,90.33423492760075,79.08866834484289,68.31650125863217,41.29876758966359
39,Ireland,94.98403688795429,84.17561866058999,94.98403688795429,84.17561866058999,94.78098865696778,83.00478250516976,94.78098865696778,83.00478250516976,94.78098865696778,83.00478250516976,71.72775608392222,43.49831986188617
40,Croatia,94.73761888008062,83.56802473829869,94.73761888008062,83.56802473829869,94.34978957343317,82.2943712194521,94.34978957343317,82.2943712194521,94.34978957343317,82.2943712194521,71.40757043569664,43.10346264642186
